"chutze","(g-et): a) an den Haaren, am Haarschopf ziehen, meist zur Züchtigung (Gu Dü Wü2 Üb1 ML1 He2 Gi Re2 Pl Ss; sds 4,9: Wü / wh 105); SYN: haare. ZSS: vùr~. b) zerzausen, zB von Unwetter (Wü1); ds Wärch a de Chùchla isch kutzets ù kùtterets (pm 11); SYN: strùùpfe.","[zu Chutz (r) Id 3,604]"
"Chùubi"," s. Chǜḷbi.",""
"Chùubi~"," s. Chǜḷbi~.",""
"Chùùchla"," s. Chùchla.",""
"Chüüer"," s. Chüer.",""
"chüüere","(g-et): kühern, das Rindvieh besorgen (wh 86; pb S-2).","[auch chüijere (pb)]"
"chùùffe","(g-t): kaufen, einkaufen (allg. / wh 136, 138, 230); we dù Gguraschi hescht, so wǜll i der  d Buechegg ga chùùffe (vs GuC59); SYN: arstaa. ↑ chraame, gremple. • Ra.: dä isch gchùùfta diesen Stich übernehme ich, beim Jass (Ta2); ‡jasse.","[auch chouffe (Gu1)]"
"Chüüjer"," s. Chüer.",""
"Chǜǜrbis","Kürbis (UL Fr He We2 OL). SYN: Chǜrbs.",""
"Chǜǜrps"," s. Chǜrbs.",""
"chùùrz","(chǜǜrzer, chǜǜrzescht): a) kurz, knapp: i chùùrzùm in kurzer Zeit (wh 122); am Anfang het sia ds Selin o chùrz ghääbe knapphalten (pb Spät126); ZSS: mùtz~. b) Angriffsgriff beim Schwingen: ùf ds mal het ne Fridel chùrz zoge ù imù dr Haagge gschlaage (pm 93).",""
"chùùrze","(g-et): kurz werden, kürzer werden (wh 211); di Taage chùùrze naarisch streng (pb Verse 78).",""
"chùùrzwylig","(-er, -scht): kurzweilig, interessant (wh 107).",""
"Chùùscht","(f, -e): Kochherd (wh 97). SYN: Potasche.","[† (r) mhd kunst 'Kenntnis, Wissen'; für den genialen Kochherd, der gleichzeitig den Kachelofen heizt (Id) (r) Id 3,368: Kunst, Kust (CH)]"
"Chùut"," s. Chǜḷt.",""
"chyyche","(g-et): keuchen, heftig atmen (Re1); dr löschta het pyyschtet ù kyychet ù kittet ù gjùflet (pm 15); SYN: pyyschte.","[auch hyyche (Re1), chyyhe (wh 60, 92, 112)]"
"Chyyna·chooḷ","(m, kein Pl.): Chinakohl (Re1). ↑Chabis.",""
"Chyyschteri","(f, -ene): Heiserkeit: drùberahi iis - zwǜǜ - drüü Ggaffiträäsch - gäge d Chyyschteri (ar 54); ↑hiisraamig.",""
"chyyschterig","(-er, -scht): heiser (sds 4,65: Gu Dü Üb Gi). SYN: hiiseraamig.","[auch chyyschtrig (r) import. von BE (r) Id 3,544]"
"d","(Art.): die, unbetont; Sg. fem. od. Pl., Nom. od. Akk. (allg.); d Rinner ù d Ggùschteni (Aeby 22); danù isch d Puurefrou i d Stadt (pm 43); iina het d Täärm a ds Röörli glitscht (pm 30); we mù d Griggeni chizlet, so fe si a jutzge (FN 20.2.1908); vgl. Anhang 2.","[auch t (wh 220)]"
"da"," s. daa.",""
"daa","(Part.): da, hier (sds 6,98: Ta / wh 132); da weë iina da wäre einer (wh 170); SYN: hie. ↑dette.","[auch da (wh: ""unbetont"") (r) Id 12,1]"
"dää","(Pron.): dieser, der da; mask. Sg., Nom. od. Akk. (allg. / wh 147, 164, 200); dää Sackerdii soḷ mer no iinisch annha choe (wh 36); am Aaben am Achti isch dää daa [Sprecher selbst] im Bett (pb S-1b); SYN: disa. vgl. Anhang 2.","[auch dä (wh), däär (wh) (r) Stucki 1917,282]"
"Dääla"," s. Teela.",""
"Daame·rüüschli","(n, -eni): Schwips (Gu2 Ta1 We1).",""
"dääne","(Part.): drüben, jenseits (allg.); SYN: äänefǜǜr. ↑ (det/dert/wytter) ääne.","[aus *da ääne 'da drüben' (r) Id 1,267]"
"daarhaa","(-ghääbe): entgegenhalten, Widerstand leisten, a) Schlimmes erleiden, aushalten müssen (Dü1 Gi1 Si1 Pl1); was si nahi Schweersch ghääbe het mit de Chinn, dem het si aliinig müesse daarhaa (pb Verse35); ↑lyde. b) stemmen, sperren, zB Person, Balken, Nagel (Gu1 Wü1 Üb1 Ta1 He1 Re1 Si1 Ss1); SYN: aphaa, athaa, speerze, spere, sprütze, vùrstöle. ↑ (an Egi) haa, häbe, Spöri (nää), zämehäbe. c) in einem Wortwechsel nicht nachgeben (Dü1 We1 Pl1 Ss1); ANT: naagää. ↑stùcke.","[veraltet (r) zu mhd dar 'dorthin' + hân 'halten' (r) Id 2,924: BE, WS]"
"Daarm","(m, -ää-/Täärm): Darm, Körperorgan (wh 181); iina het d Täärm a ds Röörli glitscht (pm 30); ‡Yyggricht. ZSS: Blǜnntaarm, Giis~, Hüener~.","[Dim. Däärmli ]"
"Daarm·giechti","(f, -ene): Darmkatarrh mit Krämpfen, bes. bei Bébés (wh 92); ↑ Kataar, Mùmpf.","[Id 2,114: BE, SO]"
